y_train_real,y_train_pred
15.85,13.394661736874234
19.03,18.830911645299157
8.56,8.242269169719172
3.6,3.7579697136197123
19.6,19.561107196862967
13.1,13.317600104062606
14.07,14.372546104489174
17.41,16.557525559879547
14.6,15.187986295755508
17.81,17.35347812187811
16.8,16.302921109446103
3.05,5.7696276556776525
14.2,14.519776984126969
10.6,11.528101387501378
11.22,10.77998065684315
10.5,11.285748541202388
5.23,7.875551221001224
5.3,6.018292254967259
15.8,15.73044641053392
13.36,15.3124244859841
2.8,3.6320449381174376
12.9,12.974736618936632
18.0,18.44101637945388
12.7,14.304427738927734
17.1,13.792376163900197
12.86,12.05947196275946
15.0,13.691547268009762
8.04,8.43841079943448
2.55,5.467026831501828
12.04,9.624796584718695
14.01,13.313290094627598
11.5,11.7779042864187
15.58,14.96887341269841
6.5,5.238865727328226
12.1,12.890175249750262
11.72,11.502434325396825
9.36,10.630400760350764
19.24,17.9122333499833
7.68,8.874423608763033
5.71,5.717444112831621
3.67,3.2791692307692277
15.07,16.55029611019323
10.4,8.884093605006106
9.8,9.681614652014645
7.96,8.694663614163625
11.9,12.281738461538461
15.05,16.55029611019323
18.26,18.017111187423687
7.31,7.706466326408634
19.5,18.977120543345553
17.4,17.35396013833221
15.59,15.322839438339466
20.93,19.106109151959135
9.95,11.378552425352424
15.58,15.086908520966212
14.2,14.581570708458212
8.6,8.75787983821734
17.11,16.341995440048894
16.56,16.663063529526013
16.43,14.527093238705723
15.9,11.530434640874457
10.0,9.115829456654465
13.2,14.542545335860714
16.06,14.67530052127359
10.01,6.771252862415366
13.7,12.271284508547005
15.0,13.131018347891416
8.46,10.493932074869576
17.4,16.957357371794874
18.69,17.23229142246643
9.8,11.847475202228336
12.25,11.876217567155084
12.13,10.891039192751702
13.3,13.679248314185815
2.05,6.588244250194231
5.9,8.265317231379738
4.03,3.9459164878924446
18.67,18.32696617132868
10.93,8.610012759462759
10.99,10.225207280219774
12.4,12.162576053113547
16.6,14.362791967754468
18.8,19.46046734237985
8.7,7.165768282554118
