y_test_real,y_test_pred
9.77,11.986140635271317
1.7,11.986140635271317
8.2,11.986140635271317
8.12,5.207824435761246
13.8,11.986140635271317
14.91,17.054995108604842
0.2,11.986140635271317
17.0,11.986140635271317
15.7,11.986140635271317
11.41,11.986140635271317
18.11,11.986140635271317
13.12,11.986140635271317
9.7,11.986140635271317
11.74,11.986140635271317
16.95,11.986140635271317
19.09,17.054995108604842
17.8,16.14145177169127
11.1,11.986140635271317
15.75,8.181587037079556
6.9,11.986140635271317
6.47,11.986140635271317
13.5,11.986140635271317
7.0,4.842429315532043
8.04,11.986140635271317
14.26,13.226833080792955
8.8,11.986140635271317
12.6,11.986140635271317
15.75,11.986140635271317
4.74,6.578508311734801
9.0,11.986140635271317
14.15,11.986140635271317
9.6,11.986140635271317
10.1,11.986140635271317
10.59,10.899086182967375
6.41,11.986140635271317
17.71,17.054995108604842
19.58,11.986140635271317
8.62,11.986140635271317
16.97,11.986140635271317
13.7,11.986140635271317
14.29,11.986140635271317
15.3,11.986140635271317
14.92,11.986140635271317
17.14,11.986140635271317
10.41,10.956922936507938
6.21,11.986140635271317
7.01,11.986140635271317
9.5,11.986140635271317
16.21,17.155687821704205
12.49,14.669479040250964
20.1,19.32063015873016
15.5,11.986140635271317
10.2,13.2719903467001
17.39,12.587250018315016
11.9,11.986140635271317
8.5,17.054995108604842
13.55,11.986140635271317
14.87,11.986140635271317
18.21,16.138366749535194
14.1,15.244916487689297
13.47,11.986140635271317
18.4,11.986140635271317
11.46,12.79877307054659
18.7,11.986140635271317
15.45,11.280775285161958
13.07,11.986140635271317
12.43,11.986140635271317
8.46,6.290648252971728
11.73,11.986140635271317
18.6,16.14145177169127
19.24,18.6932178215895
15.18,11.986140635271317
12.36,11.986140635271317
17.83,16.138366749535194
9.81,11.986140635271317
10.5,11.986140635271317
13.3,17.054995108604842
15.0,11.986140635271317
14.81,11.986140635271317
15.8,11.986140635271317
6.7,4.739176397621113
8.5,11.986140635271317
0.1,5.9860752777777755
18.2,11.986140635271317
10.38,11.280775285161958
15.76,11.986140635271317
15.6,11.986140635271317
16.53,14.941108600359398
11.72,11.986140635271317
21.42,19.90449401410534
16.77,11.986140635271317
2.14,11.986140635271317
9.2,11.986140635271317
19.2,11.986140635271317
19.66,14.42950974163951
16.95,11.986140635271317
8.07,11.986140635271317
3.75,4.842429315532043
7.28,11.986140635271317
11.26,11.986140635271317
8.99,11.576171479052427
13.74,11.986140635271317
12.84,11.986140635271317
14.14,11.986140635271317
11.3,11.986140635271317
11.94,11.986140635271317
15.0,11.576171479052427
12.6,11.280775285161958
19.18,11.986140635271317
7.91,11.986140635271317
17.96,18.43428060177658
9.1,11.986140635271317
17.23,11.631376806141827
9.52,11.986140635271317
4.97,11.986140635271317
18.25,11.986140635271317
2.35,11.986140635271317
16.0,16.138366749535194
20.8,12.79877307054659
11.21,11.986140635271317
11.7,11.986140635271317
14.91,11.986140635271317
11.3,15.371870220547429
15.2,11.986140635271317
14.8,11.986140635271317
7.78,11.986140635271317
