y_test_real,y_test_pred
8.5,6.621332900432899
4.41,15.763858605664494
10.61,10.674691919903923
15.52,15.524742594095716
17.3,15.787635999144834
17.74,15.545057060532063
9.3,7.920034908333327
12.1,11.703632551707551
10.99,9.07735846118419
15.9,11.49702446199635
15.33,14.618604183201054
17.09,16.599646279761906
16.88,15.02719234263149
13.3,13.06074723124098
18.96,18.68581936327561
14.97,14.38714115410053
0.01,0.2853841352513227
14.99,9.37141525742776
17.61,18.313314599867716
4.86,4.715195585317458
13.4,15.213277050264546
8.0,12.160173512136016
19.31,19.894704662698405
11.51,12.655192691798954
14.79,11.792276887926883
12.1,10.36345844907408
13.2,14.83366213405331
14.09,13.737376769179896
12.74,12.080601900414402
0.44,13.70472506613757
13.17,10.713382225529108
13.93,15.795713021292434
14.0,19.27953765031265
16.81,14.48603968959282
13.4,7.366227678571434
13.7,16.310454576326457
11.69,11.36634254298942
4.78,6.528272679757602
6.14,12.616705079873817
18.41,14.14455848214285
6.5,8.203554277898034
11.1,13.71202302789802
14.0,13.743781547619053
15.2,13.154008942099557
6.8,8.129600341787842
14.7,10.329236714907053
11.8,12.113086127645504
15.8,17.862635350529104
13.9,15.186369155844158
2.62,8.411292542180048
12.9,14.161893447871574
10.9,7.29968693783068
8.66,10.199185353304102
13.4,12.820563194444446
9.1,7.399289774230405
7.5,10.56829196428571
13.2,8.891285102513228
9.51,7.3434326256613796
1.94,5.562529513888886
15.0,15.389895436507922
11.15,14.680735201719578
18.1,17.777332242063494
16.72,18.008144708994713
14.47,10.718537433862425
17.79,18.001058465608477
8.1,11.396163493913487
8.3,8.364406882931883
5.43,4.0710272995283345
2.13,17.830562347490474
0.7,1.8505427744708969
10.05,10.198364583258174
11.84,15.389174086099066
13.92,15.380629228310896
15.0,13.879798752405009
14.7,16.28786429854868
16.96,17.114059821428576
17.1,14.691620888949005
11.6,13.435804460238836
15.91,9.754359200637317
11.0,7.767435897667144
11.16,10.71137811864062
6.98,10.127263938492064
21.0,18.627986985930736
35.2,23.626120502645502
19.5,17.18139513888888
13.4,14.222342234964104
11.08,13.776977314814824
16.6,14.385603911366408
9.89,11.18610038780664
1.28,1.1856735995145913
10.02,12.752813187566534
18.55,18.298895750661373
15.6,8.21943040432811
16.3,13.932093518518535
18.05,16.68648130561571
18.04,8.560703097481223
17.57,15.825206412337662
19.7,16.338937136243384
12.3,12.119246279761914
12.32,9.535253725523626
13.81,13.72310143849206
2.85,9.272337519540653
7.6,6.5227793154761855
15.21,13.899135375816996
4.4,7.075243055555551
17.4,16.138022225228475
15.8,8.602204401455026
11.48,12.81604294733044
11.3,13.879750867419629
10.6,3.7310759495065153
13.63,14.905645395807904
2.51,4.011975504996986
15.83,18.97628869498556
9.3,9.344589960618084
18.03,17.753588378705377
12.8,10.488105880407726
8.1,7.183220565776819
11.2,11.37624178246182
15.43,9.498408170995674
4.8,2.968806655844155
17.2,16.85654347570661
13.78,14.48230107473545
16.81,17.011736894529186
0.84,0.5166239089028222
16.68,16.478391390033583
13.31,12.444891047898858
12.3,11.465279067460319
11.87,9.525199609649606
0.88,14.901585036375646
4.27,6.066356398809523
15.6,11.833202380952377
2.87,2.38683428481241
14.3,9.273677579365067
13.1,10.064335359025627
8.7,5.667184708952184
13.9,11.187739186507942
11.62,10.948250578703709
19.15,18.63585112433861
12.01,10.098670238095233
8.6,11.54994385221261
12.04,9.783663425925933
18.0,17.27514360569987
4.08,9.453463591269838
6.27,4.984862946428567
15.68,14.315973360840548
14.6,12.402291131553634
20.4,16.703967899689502
2.45,2.346458635312128
17.7,19.73318779761905
18.22,15.649259257756139
18.6,17.120333333333328
14.3,13.389121527777773
13.6,12.776242824074078
0.2,4.486581807455508
12.1,12.23164464540089
14.15,11.49702446199635
15.2,13.66307543128168
11.0,11.071131216006224
13.0,14.38714115410053
14.9,12.201381743025488
12.73,10.974941292807356
10.68,6.123428455687828
14.74,18.622202779280894
2.99,3.8747812169312166
19.0,18.941493197543206
17.2,17.04421562650312
15.1,19.11771532587783
19.1,17.774659854497333
6.42,6.8004113005050515
1.84,1.9381579695767182
19.9,17.012185547438676
6.4,8.091723258801384
15.86,16.473016667610885
14.94,13.791671263227503
3.03,3.5321924713131314
10.43,8.400164558487571
15.2,7.376142016895142
1.86,1.0077940476190477
14.02,12.15248284366098
1.21,5.010500300625295
19.68,19.314166803433313
14.6,12.755350013155843
6.82,3.4901825892857166
8.4,7.819343158751589
10.89,11.578065046296294
13.92,9.834413052248681
10.14,9.837696744227998
14.3,13.975537351190475
0.21,1.148847966269842
20.33,18.26932575607263
6.0,5.6124598544973505
10.3,11.674861912161912
15.64,14.796607969576707
12.8,11.883219718013462
20.5,18.128412970016097
18.94,16.51876274801588
12.68,11.574968541065415
15.81,15.616903323412677
9.11,11.230040546758321
18.77,18.23936352813853
4.4,8.038380059523812
12.2,13.119577451599332
14.46,13.039528918650785
18.57,19.233573585054877
17.66,13.227048955673956
1.59,12.740093360136454
7.91,6.797051377095133
16.1,16.51159347157471
8.06,13.698525033068783
16.53,17.409529642464015
17.4,17.099211153892398
3.3,3.924257882925899
