y_test_real,y_test_pred
9.77,10.415981498196242
1.7,12.445451772179508
8.2,10.586794214002197
8.12,5.477097132859614
13.8,13.13075282246936
14.91,13.898683364463583
0.2,10.289034165536247
17.0,16.30639621099067
15.7,13.113394238785911
11.41,11.9621158398601
18.11,17.48848367648763
13.12,11.446751492645037
9.7,13.32837240535323
11.74,10.380482986118434
16.95,13.335219508247626
19.09,19.687815527087363
17.8,16.221490273370247
11.1,10.622145580573898
15.75,11.0751549307971
6.9,12.609761401572648
6.47,11.581913788970498
13.5,13.070123841844651
7.0,4.077864834282793
8.04,8.908578487052223
14.26,12.09734354955829
8.8,10.114196197447358
12.6,14.474291988071089
15.75,15.668537579165454
4.74,1.8891291838737863
9.0,9.668822359315557
14.15,15.143097372085824
9.6,12.12074753302983
10.1,10.308466000526971
10.59,9.426971041926647
6.41,11.363390352507857
17.71,13.377899918951718
19.58,15.918638195162353
8.62,8.598271912888432
16.97,14.904280060452937
13.7,12.11326994293089
14.29,16.501298241350398
15.3,14.713015978318317
14.92,14.720700662962534
17.14,14.954841252343778
10.41,11.709638243972629
6.21,9.52699154438059
7.01,11.11187007262104
9.5,9.846001156044904
16.21,19.47758102889088
12.49,14.025651319928452
20.1,15.840604147623983
15.5,13.783880029354332
10.2,10.740332852020632
17.39,14.131392982036036
11.9,10.808528744362011
8.5,7.284316096356499
13.55,15.241299973139581
14.87,11.4448599867756
18.21,12.03071817461372
14.1,16.04508277612823
13.47,10.451551746777442
18.4,13.14783183068056
11.46,13.714342390709202
18.7,16.29466787881829
15.45,15.54141127124773
13.07,12.523924258547396
12.43,10.877524148748623
8.46,7.013776714979715
11.73,15.095971583627437
18.6,16.492073559613125
19.24,19.40436228482343
15.18,11.435236157644226
12.36,8.690532039295645
17.83,16.101745479516424
9.81,13.067668414664755
10.5,12.273678043299567
13.3,12.742841364260114
15.0,11.721440773164336
14.81,15.836967666025727
15.8,14.492126055049441
6.7,5.52513117437469
8.5,8.528083074229206
0.1,2.013414679256435
18.2,15.4498483704069
10.38,8.711936764881234
15.76,13.71161270015803
15.6,14.54247777528777
16.53,14.749621004760652
11.72,11.630747622542748
21.42,20.293311866240174
16.77,14.446394974103153
2.14,5.407010020961381
9.2,12.972241704563132
19.2,16.200487822103554
19.66,17.86971850514451
16.95,15.024397778297956
8.07,8.23076176677685
3.75,4.539132400849656
7.28,9.767288792620683
11.26,12.729362538368285
8.99,10.355128016661213
13.74,11.841582552367264
12.84,12.494668587045783
14.14,13.26183665187415
11.3,13.013148679646179
11.94,13.079509135643962
15.0,16.0754790595466
12.6,10.391509869531676
19.18,16.33476472243963
7.91,7.469122002068213
17.96,18.432778990667348
9.1,12.68274971242487
17.23,16.210835303223135
9.52,11.28740779280541
4.97,9.424712089513577
18.25,14.593670194454523
2.35,10.29094381591767
16.0,14.521075849962504
20.8,14.377160338754248
11.21,12.77812283805918
11.7,12.493619654733948
14.91,14.78953333346245
11.3,12.047126142360796
15.2,13.587266653939013
14.8,10.276581882700654
7.78,9.565103528023979
16.9,14.302967988671503
13.3,13.405202486782095
7.2,9.564550979125034
9.0,9.846001156044904
13.7,13.992974931439704
8.8,8.125456053329964
12.2,10.898513168333707
9.22,9.24564087372853
12.39,13.428155511948916
13.2,13.512223933724782
16.22,13.87165117776686
10.6,12.81613632166009
17.59,16.41581532345525
12.0,12.614044472798307
0.11,5.345114088372495
15.25,10.201383795188212
15.2,18.342275288516085
7.9,13.79785361225171
9.9,11.153820365043218
11.31,11.080575882145345
12.9,10.27135806281033
13.8,10.450028571895302
16.7,16.170371945112297
3.2,5.577621105677641
15.3,10.692188080375846
16.8,14.571309766770273
9.8,15.943662605054877
19.37,16.866796859097416
18.3,16.93554977480082
15.07,14.841317874721623
17.03,16.29926653111746
1.9,9.846001156044904
11.5,12.780594851948884
17.6,18.432566060644145
7.7,12.005021129379703
12.3,12.7048575408694
3.4,10.715920222912379
7.29,8.198255460575542
11.86,12.00460616711081
18.15,16.514128182232696
14.12,12.86674409228023
13.36,11.708177432952093
8.04,12.523710088692011
14.4,16.091135418757553
11.1,11.868372179982027
13.6,10.990842312479526
14.6,13.050157101147184
16.1,15.311814388484635
16.82,14.17977679330572
4.84,7.16355593270171
18.76,13.501758483339284
12.83,21.35308499464113
11.99,14.066073229734585
15.32,11.516077205482107
3.9,7.7416182167459455
19.03,13.27156328905129
15.1,12.211191652984661
11.8,7.8741869726326525
17.3,15.575672184208733
11.6,9.034222159743315
0.95,4.929570339952625
20.03,18.041733064379855
10.3,10.060989304429368
14.45,12.362144106400775
13.68,17.91014093208139
6.86,7.417866491534605
18.09,17.15700828754684
19.35,18.88627767250734
9.9,10.261449034002402
14.5,16.282148843998243
18.3,14.652470740292946
12.94,12.409189073050085
17.81,16.171379815523228
16.3,12.964049150380841
7.8,11.105223531855628
1.1,4.910919614551321
11.48,10.03077831726905
23.53,22.49913571821326
14.95,14.142618616952852
15.52,11.898850965962
1.0,8.421251423225893
0.57,2.7986017081501133
9.56,6.602309789369891
18.8,15.41581651696993
5.5,5.794309526006188
11.0,13.745373219056797
13.44,10.897056728391298
10.3,14.519572042569443
17.3,13.528255108055328
17.37,12.560638798694384
14.1,12.975450544941005
16.4,18.769861903076418
11.17,9.693095628364997
12.31,9.93637016372453
15.35,14.691099257702554
17.1,6.301112853371297
18.3,16.573443001487508
14.7,13.315381239225669
6.8,10.315633340524222
16.5,16.671380217722415
10.3,14.800160865552481
18.16,17.38359583649369
5.13,16.133249033507436
11.2,9.884608027522809
5.5,8.549800077247335
5.87,9.024421531022451
15.29,11.031611131789504
18.03,14.332814475187595
6.52,8.589258330739124
18.64,18.212232822393265
5.72,9.603322306353942
10.12,14.788954172217336
5.9,6.470158752715511
4.95,3.455867805007612
15.4,14.146619037887175
17.19,12.596429951064906
15.1,14.200701718182051
17.09,14.146210883508704
10.87,11.809379368054572
16.34,14.840522872520962
14.68,15.881674049404186
6.6,8.952982134483827
6.35,7.098976388554662
17.7,10.430609709444063
9.62,12.115221002703667
18.9,15.205515039648882
13.0,10.062823169049407
3.91,6.675109171396162
17.94,14.470350182557057
9.1,7.643295323718931
6.12,4.928471419405676
7.48,10.006784519870543
15.83,15.621579146101425
16.78,13.384816286962808
17.57,14.87745296648332
9.98,16.747112585114515
17.6,18.65574670337907
13.41,16.390654198250925
