y_test_real,y_test_pred
9.77,11.999393449301568
1.7,11.999393449301568
8.2,11.999393449301568
8.12,5.202263912950046
13.8,11.999393449301568
14.91,15.735336666666683
0.2,11.999393449301568
17.0,11.999393449301568
15.7,11.999393449301568
11.41,11.999393449301568
18.11,11.999393449301568
13.12,11.999393449301568
9.7,11.999393449301568
11.74,11.999393449301568
16.95,11.999393449301568
19.09,17.601327056277054
17.8,16.170850472504036
11.1,11.999393449301568
15.75,8.242093949450437
6.9,11.999393449301568
6.47,11.999393449301568
13.5,11.999393449301568
7.0,4.835043881626023
8.04,11.999393449301568
14.26,13.274959170849531
8.8,11.999393449301568
12.6,11.999393449301568
15.75,11.999393449301568
4.74,6.3305696308984265
9.0,11.999393449301568
14.15,11.999393449301568
9.6,11.999393449301568
10.1,11.999393449301568
10.59,11.01881453984526
6.41,11.999393449301568
17.71,13.520716373567602
19.58,11.999393449301568
8.62,11.999393449301568
16.97,11.999393449301568
13.7,11.999393449301568
14.29,11.999393449301568
15.3,11.999393449301568
14.92,11.999393449301568
17.14,11.999393449301568
10.41,11.27329461399711
6.21,11.999393449301568
7.01,11.999393449301568
9.5,11.999393449301568
16.21,17.07017845614258
12.49,14.396386750370894
20.1,19.344719858584153
15.5,11.999393449301568
10.2,10.062801793345557
17.39,12.513468754578758
11.9,11.999393449301568
8.5,6.921347272727272
13.55,11.999393449301568
14.87,11.999393449301568
18.21,16.13035526331052
14.1,15.15698518101701
13.47,11.999393449301568
18.4,11.999393449301568
11.46,12.864480014767315
18.7,11.999393449301568
15.45,11.230337820585397
13.07,11.999393449301568
12.43,11.999393449301568
8.46,6.272931012647108
11.73,11.999393449301568
18.6,16.170850472504036
19.24,18.59853501565423
15.18,11.999393449301568
12.36,11.999393449301568
17.83,16.13035526331052
9.81,11.999393449301568
10.5,11.999393449301568
13.3,16.097288099776563
15.0,11.999393449301568
14.81,11.999393449301568
15.8,11.999393449301568
6.7,4.707119081926228
8.5,11.999393449301568
0.1,0.16427251082251101
18.2,11.999393449301568
10.38,11.230337820585397
15.76,11.999393449301568
15.6,11.999393449301568
16.53,14.91582534063975
11.72,11.999393449301568
21.42,19.742871619413016
16.77,11.999393449301568
2.14,11.999393449301568
9.2,11.999393449301568
19.2,11.999393449301568
19.66,14.343584970152936
16.95,11.999393449301568
8.07,11.999393449301568
3.75,4.835043881626023
7.28,11.999393449301568
11.26,11.999393449301568
8.99,11.687197870411197
13.74,11.999393449301568
12.84,11.999393449301568
14.14,11.999393449301568
11.3,11.999393449301568
11.94,11.999393449301568
15.0,11.687197870411197
12.6,11.230337820585397
19.18,11.999393449301568
7.91,11.999393449301568
17.96,18.385347890127633
9.1,11.999393449301568
17.23,11.159668073152101
9.52,11.999393449301568
4.97,11.999393449301568
18.25,11.999393449301568
2.35,11.999393449301568
16.0,16.13035526331052
20.8,12.864480014767315
11.21,11.999393449301568
11.7,11.999393449301568
14.91,11.999393449301568
11.3,15.085019450729007
15.2,11.999393449301568
14.8,11.999393449301568
7.78,11.999393449301568
16.9,11.999393449301568
13.3,11.999393449301568
7.2,11.999393449301568
9.0,11.999393449301568
13.7,11.999393449301568
8.8,4.707119081926228
12.2,12.864480014767315
9.22,11.999393449301568
12.39,11.230337820585397
13.2,11.999393449301568
16.22,11.999393449301568
10.6,11.999393449301568
17.59,11.999393449301568
12.0,11.799214752149753
0.11,11.159668073152101
15.25,11.999393449301568
15.2,18.51396439655933
7.9,11.179686666666667
9.9,11.999393449301568
11.31,11.999393449301568
12.9,11.999393449301568
13.8,11.999393449301568
16.7,16.817029104229103
3.2,11.999393449301568
15.3,11.999393449301568
16.8,11.999393449301568
9.8,16.170850472504036
19.37,16.401360409874197
18.3,16.14693023121015
15.07,16.401360409874197
17.03,16.13035526331052
1.9,11.999393449301568
11.5,11.999393449301568
17.6,15.87324914565826
7.7,11.999393449301568
12.3,11.999393449301568
3.4,11.999393449301568
7.29,5.962446048177339
11.86,11.999393449301568
18.15,16.760079824666672
14.12,11.999393449301568
13.36,11.999393449301568
8.04,11.999393449301568
14.4,16.13035526331052
11.1,11.999393449301568
13.6,11.999393449301568
14.6,11.999393449301568
16.1,11.999393449301568
16.82,11.999393449301568
4.84,8.242093949450437
18.76,11.999393449301568
12.83,19.623905836385838
11.99,11.999393449301568
15.32,11.999393449301568
3.9,11.999393449301568
19.03,16.13035526331052
15.1,11.999393449301568
11.8,7.4357453823953765
17.3,16.13035526331052
11.6,9.153370238095238
0.95,11.999393449301568
20.03,11.999393449301568
10.3,11.999393449301568
14.45,11.999393449301568
13.68,11.999393449301568
6.86,11.999393449301568
18.09,18.186319285714298
19.35,16.94056093961594
9.9,11.999393449301568
14.5,13.099724839743587
18.3,11.999393449301568
12.94,11.230337820585397
17.81,16.238383730158723
16.3,13.961100528360525
7.8,11.999393449301568
1.1,11.999393449301568
11.48,8.036077693239598
23.53,20.253115481731598
14.95,11.692627233288679
15.52,11.999393449301568
1.0,11.999393449301568
0.57,0.45617333333333293
9.56,11.999393449301568
18.8,16.170850472504036
5.5,8.117234633331076
11.0,11.999393449301568
13.44,11.999393449301568
10.3,11.999393449301568
17.3,11.999393449301568
17.37,11.999393449301568
14.1,11.999393449301568
16.4,11.999393449301568
11.17,11.999393449301568
12.31,11.999393449301568
15.35,11.999393449301568
17.1,4.707119081926228
18.3,11.999393449301568
14.7,11.999393449301568
6.8,11.999393449301568
16.5,11.999393449301568
10.3,11.230337820585397
18.16,16.170850472504036
5.13,4.406022364718617
11.2,11.999393449301568
5.5,5.557125873015866
5.87,11.999393449301568
15.29,11.999393449301568
18.03,11.999393449301568
6.52,11.999393449301568
18.64,16.911998509306784
5.72,11.999393449301568
10.12,13.97270335858586
5.9,6.272931012647108
4.95,4.707119081926228
15.4,12.864480014767315
17.19,11.999393449301568
15.1,11.999393449301568
17.09,16.13035526331052
10.87,11.999393449301568
16.34,11.999393449301568
14.68,11.999393449301568
6.6,11.999393449301568
6.35,11.999393449301568
17.7,11.999393449301568
9.62,11.999393449301568
18.9,16.448836876424224
13.0,11.230337820585397
3.91,11.999393449301568
17.94,11.999393449301568
9.1,11.999393449301568
6.12,4.707119081926228
7.48,11.999393449301568
15.83,11.999393449301568
16.78,12.864480014767315
17.57,11.999393449301568
9.98,16.490712542041294
17.6,15.62450833333334
13.41,17.07017845614258
11.2,11.999393449301568
15.61,11.999393449301568
15.62,11.999393449301568
1.02,11.999393449301568
14.97,11.999393449301568
16.04,14.46468452380953
15.87,16.13035526331052
16.5,11.999393449301568
12.95,11.999393449301568
6.46,11.999393449301568
16.03,11.999393449301568
17.5,11.999393449301568
2.22,11.999393449301568
7.34,4.835043881626023
12.38,11.999393449301568
10.2,11.999393449301568
15.5,13.590798113553108
11.8,11.999393449301568
17.9,16.13035526331052
11.1,11.999393449301568
17.2,11.999393449301568
12.2,11.999393449301568
14.29,11.573331770411379
13.79,11.999393449301568
17.35,11.999393449301568
9.59,16.170850472504036
15.6,11.999393449301568
14.22,11.999393449301568
13.9,16.401360409874197
5.38,11.999393449301568
2.8,11.999393449301568
11.08,8.385338228715728
8.83,8.626220226837821
13.74,11.999393449301568
18.4,17.94630868402839
11.32,11.999393449301568
17.9,11.999393449301568
17.94,16.170850472504036
7.98,11.999393449301568
16.3,11.999393449301568
0.11,0.6134546298146298
13.72,16.60059780263459
9.7,11.999393449301568
9.05,4.187402380952381
7.16,5.202263912950046
18.97,18.69237493477269
19.48,18.59853501565423
0.56,11.01881453984526
12.9,11.999393449301568
22.0,20.953565440115447
4.06,11.999393449301568
6.5,8.242093949450437
11.3,11.999393449301568
6.2,11.999393449301568
12.6,11.999393449301568
9.3,7.5914147222222255
13.04,16.401360409874197
5.7,11.999393449301568
11.51,11.230337820585397
12.6,11.999393449301568
20.58,11.999393449301568
17.0,11.687197870411197
14.13,11.999393449301568
8.19,11.999393449301568
19.03,16.13035526331052
11.0,11.999393449301568
1.27,5.911486159673659
14.7,16.31548627398546
2.91,8.242093949450437
10.1,11.999393449301568
13.4,11.999393449301568
9.73,12.864480014767315
20.02,18.385347890127633
17.5,11.243443050840725
17.0,11.999393449301568
14.8,11.999393449301568
7.3,11.999393449301568
